TegamCAL Event Log
Exported : 2026-05-30 15:12:04
Instrument S/N : TG-001234
Operator : Slava
------------------------------------------------------------
[15:10:27] INFO   TegamCAL started — waiting for operator input
[15:10:40] INFO   Starting session | Mode: Full Calibration | Operator: Slava | S/N: TG-001234 | T=23.2°C RH=48%
[15:10:40] INFO   Loading configuration... (mode: Full Calibration)
[15:10:40] INFO   Config loaded — 4 cal points, N=5, stabilisation delay=1.5s
[15:10:40] INFO   Connecting Tegam 1750 (USE_MOCK=True)...
[15:10:40] INFO   Tegam 1750 connected
[15:10:40] INFO   Connecting Arduino relay controller on COM4...
[15:10:44] INFO   Arduino connected: TegamCAL Arduino Nano Every v1.1
[15:10:44] INFO   === AS FOUND run started ===
[15:10:44] INFO   [AS FOUND] Point 1 — 2.0 Ohm (relay R1)
[15:10:46] INFO     Reading 1: 2.000 Ohm
[15:10:46] INFO     Reading 2: 2.000 Ohm
[15:10:46] INFO     Reading 3: 2.000 Ohm
[15:10:46] INFO     Reading 4: 2.000 Ohm
[15:10:46] INFO     Reading 5: 2.000 Ohm
[15:10:46] PASS   Point 1 PASS: mean=2.000 Ohm, U=±0.000, tol=±0.002
[15:10:46] INFO   [AS FOUND] Point 2 — 20.0 Ohm (relay R2)
[15:10:48] INFO     Reading 1: 19.999 Ohm
[15:10:48] INFO     Reading 2: 20.000 Ohm
[15:10:48] INFO     Reading 3: 20.003 Ohm
[15:10:49] INFO     Reading 4: 20.004 Ohm
[15:10:49] INFO     Reading 5: 20.004 Ohm
[15:10:49] PASS   Point 2 PASS: mean=20.002 Ohm, U=±0.002, tol=±0.015
[15:10:49] INFO   [AS FOUND] Point 3 — 200.0 Ohm (relay R3)
[15:10:51] INFO     Reading 1: 200.020 Ohm
[15:10:51] INFO     Reading 2: 199.960 Ohm
[15:10:51] INFO     Reading 3: 199.980 Ohm
[15:10:51] INFO     Reading 4: 200.010 Ohm
[15:10:51] INFO     Reading 5: 200.010 Ohm
[15:10:51] PASS   Point 3 PASS: mean=199.996 Ohm, U=±0.022, tol=±0.150
[15:10:51] INFO   [AS FOUND] Point 4 — 2000.0 Ohm (relay R4)
[15:10:53] INFO     Reading 1: 2.0003 KOhm
[15:10:54] INFO     Reading 2: 2.0003 KOhm
[15:10:54] INFO     Reading 3: 2.0004 KOhm
[15:10:54] INFO     Reading 4: 1.9998 KOhm
[15:10:54] INFO     Reading 5: 1.9999 KOhm
[15:10:54] PASS   Point 4 PASS: mean=2.0001 KOhm, U=±0.0002, tol=±0.0010
[15:10:54] PASS   AS FOUND complete: 4/4 PASS
[15:10:54] PASS   AS FOUND: all points PASS — skipping ADJUST
[15:10:54] INFO   === AS LEFT run started ===
[15:10:54] INFO   [AS LEFT] Point 1 — 2.0 Ohm (relay R1)
[15:10:56] INFO     Reading 1: 2.000 Ohm
[15:10:56] INFO     Reading 2: 2.000 Ohm
[15:10:56] INFO     Reading 3: 2.000 Ohm
[15:10:56] INFO     Reading 4: 2.000 Ohm
[15:10:57] INFO     Reading 5: 2.000 Ohm
[15:10:57] PASS   Point 1 PASS: mean=2.000 Ohm, U=±0.000, tol=±0.002
[15:10:57] INFO   [AS LEFT] Point 2 — 20.0 Ohm (relay R2)
[15:10:59] INFO     Reading 1: 20.004 Ohm
[15:10:59] INFO     Reading 2: 20.002 Ohm
[15:10:59] INFO     Reading 3: 19.997 Ohm
[15:10:59] INFO     Reading 4: 19.995 Ohm
[15:10:59] INFO     Reading 5: 20.000 Ohm
[15:10:59] PASS   Point 2 PASS: mean=20.000 Ohm, U=±0.003, tol=±0.015
[15:10:59] INFO   [AS LEFT] Point 3 — 200.0 Ohm (relay R3)
[15:11:01] INFO     Reading 1: 199.970 Ohm
[15:11:01] INFO     Reading 2: 200.040 Ohm
[15:11:02] INFO     Reading 3: 200.050 Ohm
[15:11:02] INFO     Reading 4: 199.960 Ohm
[15:11:02] INFO     Reading 5: 200.010 Ohm
[15:11:02] PASS   Point 3 PASS: mean=200.006 Ohm, U=±0.036, tol=±0.150
[15:11:02] INFO   [AS LEFT] Point 4 — 2000.0 Ohm (relay R4)
[15:11:04] INFO     Reading 1: 1.9997 KOhm
[15:11:04] INFO     Reading 2: 2.0002 KOhm
[15:11:04] INFO     Reading 3: 1.9997 KOhm
[15:11:04] INFO     Reading 4: 2.0002 KOhm
[15:11:04] INFO     Reading 5: 2.0002 KOhm
[15:11:04] PASS   Point 4 PASS: mean=2.0000 KOhm, U=±0.0002, tol=±0.0010
[15:11:04] PASS   AS LEFT complete: 4/4 PASS
[15:11:05] PASS   Calibration complete — ready for report
[15:11:05] INFO   === Calibration complete — ready for report ===
[15:11:05] INFO   Instruments disconnected
